Metric,Value
Accuracy,0.9010752688172043
Precision,0.923728813559322
Recall,0.9450867052023122
Sensitivity,0.9450867051749975
Specificity,0.7731092436325119
F1 Score,0.9342857142857143
ROC AUC,0.9578617574197309
