Metric,Value
Accuracy,0.8795698924731182
Precision,0.9142857142857143
Recall,0.9248554913294798
Sensitivity,0.9248554913027498
Specificity,0.7478991596010169
F1 Score,0.9195402298850575
ROC AUC,0.9466653713508524
