Metric,Value
Accuracy,0.9440860215053763
Precision,0.9678362573099415
Recall,0.9566473988439307
Sensitivity,0.9566473988162818
Specificity,0.9075630251338183
F1 Score,0.9622093023255814
ROC AUC,0.9808374216738719
