Metric,Value
Accuracy,0.9182795698924732
Precision,0.9350282485875706
Recall,0.9566473988439307
Sensitivity,0.9566473988162818
Specificity,0.8067226890078385
F1 Score,0.9457142857142857
ROC AUC,0.9781658328071112
