Metric,Value
Accuracy,0.9333333333333333
Precision,0.9487179487179487
Recall,0.9624277456647399
Sensitivity,0.962427745636924
Specificity,0.8487394957269967
F1 Score,0.9555236728837877
ROC AUC,0.9812503035896439
